frame,t,cond,rms_contrast,sharp,d_A,d_B,spec_dev
46,0.7302,phase,0.11387882410469666,0.020923870776748777,0.025513764322116377,0.03143808483023411,0.49212148225376134
47,0.746,phase,0.10016560192289824,0.015489882403590399,0.021125092238330236,0.031027854640998817,0.4586002794720393
48,0.7619,phase,0.10767651951829914,0.018661207479613,0.01967506404340272,0.03849630122864472,0.45078564329070314
49,0.7778,phase,0.11505367041700074,0.022116026742643395,0.024462604490786525,0.03290597305008017,0.4471985775206655
50,0.7937,phase,0.12615743227200477,0.02767362750859461,0.04255750920576274,0.026365512521295778,0.47490477295148925
51,0.8095,phase,0.10984826388248918,0.02115438141996018,0.0380923748573285,0.023297727023083185,0.43920813067614134
52,0.8254,phase,0.1014112376078782,0.017610534025790364,0.039207566910548636,0.02119119286146924,0.4086569955809697
53,0.8413,phase,0.10435699632141705,0.019275258442617883,0.04338816873485963,0.0215444743893494,0.3740692217221208
54,0.8571,phase,0.10969748853894623,0.021012024719741073,0.04630433223599078,0.022324122565587388,0.35839114131952493
55,0.873,phase,0.10547813781657606,0.018840766600037213,0.027031584338538226,0.02615795790265749,0.3421231548320714
56,0.8889,phase,0.10594635549670373,0.01945598681528255,0.04706411488292912,0.020260151098534546,0.3164082701348654
57,0.9048,phase,0.10542310213660991,0.020018089160837995,0.05330563454799367,0.019662060542754344,0.30377809995832394
58,0.9206,phase,0.0994111191706615,0.017368918419551748,0.06832294283628816,0.020128122471169855,0.26079509980031507
59,0.9365,phase,0.08578419889110936,0.012860894078316042,0.06311619782222525,0.016733816744799568,0.1982649260064087
60,0.9524,phase,0.08949800115697293,0.015140771807602739,0.05712609748260549,0.015354266264185167,0.17122072704920877
61,0.9683,phase,0.10362759592828924,0.01913794847567797,0.04264322158141268,0.01314552210386482,0.19982048888746604
62,0.9841,phase,0.09153288815623462,0.015724760710526905,0.03813527413688918,0.006590840408013354,0.09922932840359804
63,1.0,phase,0.10182274628833647,0.019955256918470166,0.04569699455847927,2.0544245379804542e-32,0.17591192657479912
0,0.0,scramble,0.07365893401104147,0.009711249329139894,0.0,0.04569699455847922,0.17591192657479898
1,0.0159,scramble,0.07926229889305088,0.012088763733829886,0.016437361007645836,0.020049200649838967,0.13672202053143054
2,0.0317,scramble,0.07810878502696969,0.011427550390974126,0.015244663818127653,0.023888679606364663,0.16540540737825396
3,0.0476,scramble,0.09079932321565146,0.014792979452400818,0.016300032576002335,0.026919771334627175,0.1251582273731205
4,0.0635,scramble,0.09927864468518242,0.0177510394061117,0.014710539120176724,0.03521073744104975,0.19030749138064043
5,0.0794,scramble,0.1043223399014828,0.01959311399870109,0.024412750805135774,0.02550200266349288,0.243705213789896
6,0.0952,scramble,0.10270253284176975,0.01728338008493807,0.024927023764005154,0.025110861807493657,0.2582670617929329
7,0.1111,scramble,0.10324066509169125,0.01714380651398112,0.0387716996711823,0.021359947952418606,0.29124746878512486
8,0.127,scramble,0.11072582267887791,0.02018211087789946,0.031094265444194642,0.02511952934364182,0.3463580773184001
9,0.1429,scramble,0.09837791939481472,0.01571618423905956,0.027606206025212472,0.023689857579298076,0.3053076852261994
10,0.1587,scramble,0.10065910606877099,0.015831044617980634,0.04688708312836573,0.02053967406966402,0.33180709425557237
11,0.1746,scramble,0.10081095780509275,0.014221022839806755,0.021924081619475313,0.028255067608900904,0.3527535860381196
12,0.1905,scramble,0.1009470059813534,0.013742934702715828,0.016253211273181044,0.03794345872663292,0.3862052275517069
13,0.2063,scramble,0.09297202206091494,0.011714548602349795,0.01312104867616632,0.04956966364373142,0.3981272279022317
14,0.2222,scramble,0.09644583273330216,0.012635492742527002,0.020309312903901162,0.027843808772417086,0.40526310447997266
15,0.2381,scramble,0.097553711020821,0.012901474188936276,0.019826916762131573,0.029611227453046056,0.4114307992126164
16,0.254,scramble,0.1133350561916029,0.01753197811039607,0.02389140210776801,0.03210434232429236,0.45908969193648125
17,0.2698,scramble,0.12574623395394774,0.02119400139515225,0.04288379506203111,0.026648180786262486,0.5239266217515435
18,0.2857,scramble,0.11412152148176602,0.017706824318328415,0.038903823425799,0.02445946001771325,0.5112929033048585
19,0.3016,scramble,0.1157050700428222,0.01811887856471428,0.025649456924415184,0.03149241154933512,0.5280314476529979
20,0.3175,scramble,0.11765583075349366,0.019741947171547994,0.02878683106769368,0.02980117575942541,0.5249635822312111
21,0.3333,scramble,0.12010032383576921,0.019726727500159445,0.03540839226319568,0.02719075595446098,0.5334572077079031
22,0.3492,scramble,0.12758697703757663,0.022541041901843698,0.02957104035486154,0.03276258688720481,0.5716528132902325
23,0.3651,scramble,0.13637721286218135,0.02612178758799201,0.04027283107794441,0.0309297873966823,0.6171752325516697
24,0.381,scramble,0.11987797285263098,0.018845689194251322,0.04245175668427375,0.02514326760966915,0.5510547213696709
25,0.3968,scramble,0.11606984202512464,0.01932174861497156,0.035520772519380496,0.02541774725370356,0.5402307012597412
26,0.4127,scramble,0.116291576784089,0.020319413656577946,0.028663448774956857,0.028724193064138252,0.5477660022024938
27,0.4286,scramble,0.12166500100578069,0.02155099715229538,0.02892101040539731,0.030814024622860106,0.5192103817343233
28,0.4444,scramble,0.09950701395099301,0.014167331708714342,0.03886463139514124,0.020328500234694076,0.4595297208132384
29,0.4603,scramble,0.10534715973511119,0.015609466531650436,0.0734479680937981,0.02545483263273085,0.46996855516872327
30,0.4762,scramble,0.09708484888952511,0.012500665414668372,0.05141927988358529,0.02008582390938242,0.47462190528060016
31,0.4921,scramble,0.0897918025408093,0.01125611174127038,0.05633693174724513,0.01944449771205407,0.46412540106128297
32,0.5079,scramble,0.1084523063522455,0.015164769515263027,0.057172713392089104,0.022613278186766513,0.500322788280751
33,0.5238,scramble,0.1103233845448381,0.016574798523226,0.04937572550366168,0.022587601742773397,0.49553357321088326
34,0.5397,scramble,0.1063572790369563,0.015871770990900553,0.0331422402229246,0.023496974618897395,0.4830816445624791
35,0.5556,scramble,0.12139730571525985,0.019756969241944724,0.0257857773829439,0.03425513625728796,0.546607342752223
36,0.5714,scramble,0.12484811700595631,0.02122259701718255,0.03730520948467458,0.027898286801395073,0.5626292736489837
37,0.5873,scramble,0.11390136822031634,0.01841571269104169,0.03811693913614649,0.024590382108628423,0.5212673629822527
38,0.6032,scramble,0.11222635909362115,0.018361650841628666,0.027767248466056157,0.028421151502861113,0.5094530919650716
39,0.619,scramble,0.12199898726882324,0.02369885620302123,0.025877184111184077,0.03443072602060661,0.5330569925803263
40,0.6349,scramble,0.11423096748948726,0.020380700967583768,0.01807076218996109,0.05931653681697391,0.5010641993374219
41,0.6508,scramble,0.11672194792923037,0.019860824055976785,0.02744622287610675,0.029833069028986796,0.5417612725904191
42,0.6667,scramble,0.1349198855007183,0.027464510391895555,0.027370140782196687,0.041655277466735405,0.6424683944602517
43,0.6825,scramble,0.11512543534664724,0.02105619107533679,0.03751617280150907,0.023893366538228936,0.5220339355452933
44,0.6984,scramble,0.12318646453318097,0.023462911248082318,0.034577728719976525,0.027206489059115626,0.5477227918125535
45,0.7143,scramble,0.13311470626390196,0.027951091266531822,0.03216287975422172,0.03323190907998943,0.5917341439939954
46,0.7302,scramble,0.11410959309413081,0.020737573846868394,0.019492937218727427,0.04068252735277914,0.48597422075734886
47,0.746,scramble,0.11582188878911492,0.021657748747506773,0.03219036479216075,0.026236276064682294,0.5009724965794412
48,0.7619,scramble,0.12812972713993828,0.026163002600379993,0.032626969721945384,0.03032084876255568,0.5514932872964176
49,0.7778,scramble,0.11878734519350821,0.02396454947218508,0.028532183159935602,0.027972912721697527,0.5000528685209715
50,0.7937,scramble,0.11499930845775681,0.02344687135021173,0.02947831634790888,0.02659546193569079,0.45458870154449066
51,0.8095,scramble,0.10859819701210259,0.020541062153435753,0.03674854676421892,0.021519427657613607,0.4201780824011021
52,0.8254,scramble,0.09605922271500558,0.01666100535102156,0.03205619321137874,0.01961319023268863,0.3713573305659012
53,0.8413,scramble,0.10769815550357942,0.02115910143025074,0.01981584822714145,0.035843065352004926,0.38664335881572215
54,0.8571,scramble,0.09731270044687612,0.01679828676478343,0.04435196972624423,0.01859351471372562,0.3444244382536607
55,0.873,scramble,0.09770664390049268,0.01789100909798415,0.04162685312843232,0.018053589821081403,0.3342353705076883
56,0.8889,scramble,0.10642375652092335,0.019832212207289295,0.01768060900957616,0.03856380213565769,0.3254460992780918
57,0.9048,scramble,0.09661940965946116,0.016670554861780266,0.01943015657792392,0.027728605383573295,0.2783558611942781
58,0.9206,scramble,0.10648541845073628,0.022627194470533876,0.030367506753477474,0.02221541482273311,0.26527712990968805
59,0.9365,scramble,0.08266662240546559,0.014167162006834499,0.012703261821319934,0.03721276671446298,0.22488998843495864
60,0.9524,scramble,0.09160670165226868,0.01841678826168421,0.013313559384980894,0.05272442365399445,0.17953363750570522
61,0.9683,scramble,0.08501173662465905,0.01567584670356054,0.016380118213657077,0.03219399565128029,0.13004502309624744
62,0.9841,scramble,0.0870811173176058,0.016896163351005355,0.03421945842868222,0.01997359480371063,0.11931702456460337
63,1.0,scramble,0.10531419504266275,0.025501801674251232,0.03875403553775065,0.0216909888146102,0.20894171629118466
